Package,Overall,FinalRiskScore,Score
sqlglot,4.27,0.6424497,88
uritools,4.27,0.733027542,76
kivy,4.27,0.614348902,90
py-dmidecode,4.27,0.691359394,70
pot,4.27,0.590622189,78
tomlkit,4.24,0.675941815,88
transformers,4.24,0.51401099,94
opt-einsum,4.24,0.618172373,79
apscheduler,4.24,0.723216809,91
userpath,4.24,0.671641247,79
lru-dict,4.24,0.641359104,77
pyinstrument,4.24,0.625187097,85
wmctrl,4.24,0.725845727,73
brotlipy,4.24,0.75907948,63
python-hosts,4.24,0.782704091,76
mnemonic,4.24,0.774347233,67
tortoise-orm,4.24,0.632966091,93
scrapyd,4.24,0.669644926,82
glcontext,4.24,0.780989581,70
pyrsistent,4.22,0.717490926,84
google-pasta,4.22,0.778063716,82
cssselect,4.22,0.875578066,82
emoji,4.22,0.695140752,88
google-cloud-compute,4.22,0.765022492,88
geventhttpclient,4.22,0.671641247,82
google-cloud-ndb,4.22,0.743451966,90
hidapi,4.22,0.850504649,71
dulwich,4.19,0.607677935,100
debugpy,4.19,0.573260322,97
asgiref,4.19,0.718521638,93
opencv-python,4.19,0.562816875,88
gcsfs,4.19,0.720843684,91
opencv-python-headless,4.19,0.583489252,88
fastparquet,4.19,0.569384573,91
pymupdf,4.19,0.676604336,88
opencv-contrib-python,4.19,0.574190173,85
thefuzz,4.19,0.710795892,85
webargs,4.19,0.640026444,94
influxdb-client,4.19,0.613013027,82
opencv-contrib-python-headless,4.19,0.580549188,82
rotary-embedding-torch,4.19,0.831542925,74
libhoney,4.19,0.75014457,63
aws-lambda-typing,4.19,0.634773335,81
tqdm,4.16,0.619815336,96
decorator,4.16,0.7537292,78
mistune,4.16,0.743160829,88
stack-data,4.16,0.713045655,79
pika,4.16,0.538071056,96
gradio,4.16,0.54505163,97
google-cloud-kms,4.16,0.745625903,88
gradio-client,4.16,0.671641247,91
django-filter,4.16,0.670713345,91
flask-migrate,4.16,0.725324124,88
arpeggio,4.16,0.76073483,80
aiorwlock,4.16,0.774172918,67
distrax,4.16,0.768272104,81
graphene-django,4.16,0.676930227,93
sqlite-utils,4.16,0.672416575,85
dataset,4.16,0.724958615,80
traits,4.16,0.63681676,81
markdown-it-py,4.14,0.636462198,95
pyelftools,4.14,0.721939503,67
flower,4.14,0.543484244,82
xarray-einstats,4.14,0.738646245,77
django-celery-results,4.14,0.59225019,85
sparse,4.14,0.667185797,83
getmac,4.14,0.671641247,76
smmap,4.11,0.699797355,85
cython,4.11,0.403906819,96
executing,4.11,0.646274343,82
webcolors,4.11,0.729905337,79
imbalanced-learn,4.11,0.582927621,85
apispec,4.11,0.71020202,89
resolvelib,4.11,0.762762755,83
injector,4.11,0.755092915,88
discord-py,4.11,0.497976846,91
stone,4.11,0.660629153,65
discord,4.11,0.518287016,91
asyncstdlib,4.11,0.663298525,75
bleak,4.11,0.72367936,88
pyecharts,4.11,0.74429607,85
python-binance,4.11,0.560074237,85
httptools,4.08,0.765845585,91
nbclient,4.08,0.61126791,92
pyhcl,4.08,0.652067026,85
fiona,4.08,0.785023155,93
gensim,4.08,0.671641247,94
python-socketio,4.08,0.721468629,88
mkdocs-material-extensions,4.08,0.699629291,76
importlab,4.08,0.783656528,68
httpie,4.08,0.690928893,80
django-object-actions,4.08,0.620393723,82
aioquic,4.08,0.607737089,80
hsluv,4.08,0.671641247,79
corner,4.08,0.885047731,77
parso,4.05,0.878820797,80
requests-mock,4.05,0.742750299,77
cytoolz,4.05,0.895231857,83
packageurl-python,4.05,0.64237809,83
glom,4.05,0.767553483,78
napari,4.05,0.668339092,81
jmespath,4.03,0.751241116,82
googleapis-common-protos,4.03,0.763115661,91
tenacity,4.03,0.650759763,91
typing-inspect,4.03,0.692557797,83
slack-sdk,4.03,0.600411706,97
slackclient,4.03,0.600329624,90
partd,4.03,0.759813236,91
dateparser,4.03,0.706639878,89
click-option-group,4.03,0.786570262,76
soundfile,4.03,0.6792456,77
autograd,4.03,0.597618855,80
sql-metadata,4.03,0.697039057,85
pandera,4.03,0.714701295,88
flask-talisman,4.03,0.75829117,83
panel,4.03,0.53463589,97
hdbscan,4.03,0.723331353,91
pip-licenses,4.03,0.622730875,85
mkdocs-autorefs,4.03,0.684212959,83
holoviews,4.03,0.663949667,88
zope-sqlalchemy,4.03,0.677676974,81
watchdog,4.0,0.594156137,93
terminado,4.0,0.670111047,82
pyspnego,4.0,0.662242514,80
google-cloud-translate,4.0,0.726369484,90
zopfli,4.0,0.703968313,76
tweepy,4.0,0.58138464,85
y-py,4.0,0.708342595,82
google-cloud-dataflow-client,4.0,0.793617954,82
testtools,4.0,0.758420375,74
ruptures,4.0,0.749144012,79
textstat,4.0,0.672710136,64
pyotp,3.97,0.746889899,88
pytest-html,3.97,0.738219697,91
pyinstaller,3.97,0.477930654,94
cheroot,3.97,0.579207194,89
papermill,3.97,0.709416663,70
license-expression,3.97,0.624747677,80
flask-restx,3.97,0.572720062,83
nbval,3.97,0.63258141,65
confluent-kafka,3.95,0.708883857,85
jsondiff,3.95,0.797230422,81
watchfiles,3.95,0.673934357,88
cairosvg,3.95,0.606977414,82
blessed,3.95,0.755107973,88
pydash,3.95,0.749393386,88
hydra-core,3.95,0.703524982,89
pytesseract,3.95,0.881957255,60
weasyprint,3.95,0.61670457,85
watchgod,3.95,0.674798123,67
prefect,3.95,0.680404503,94
daphne,3.95,0.72670548,77
transaction,3.95,0.677167922,68
pyftpdlib,3.95,0.756588673,82
dask-ml,3.95,0.581198768,77
pycapnp,3.95,0.735624473,74
mistletoe,3.95,0.618194867,88
hydra-colorlog,3.95,0.721440798,77
cfgrib,3.95,0.624604368,75
honeybadger,3.95,0.759467357,74
isodate,3.92,0.626133602,76
aioconsole,3.92,0.756877841,82
sphinx,3.92,0.46890645,97
flask-cors,3.92,0.745635561,91
pdfminer-six,3.92,0.71203612,89
feedparser,3.92,0.589641365,78
wcmatch,3.92,0.744201537,79
faiss-cpu,3.92,0.688459329,76
pyzstd,3.92,0.801745387,67
category-encoders,3.92,0.742079426,88
google-cloud-os-login,3.92,0.761129846,88
av,3.92,0.811996357,78
yamale,3.92,0.674483868,64
sanic-routing,3.92,0.789985004,74
editdistance,3.92,0.56991935,72
pastedeploy,3.92,0.892780663,79
json-tricks,3.92,0.786223059,78
graphene-sqlalchemy,3.92,0.733049001,67
django-classy-tags,3.92,0.888525473,81
pyftdi,3.92,0.609532024,77
python-statemachine,3.92,0.773956162,85
copulas,3.92,0.760915003,84
google-cloud-appengine-admin,3.92,0.779933551,78
statsd,3.89,0.67315142,82
xarray,3.89,0.550252534,92
robotframework,3.89,0.655660684,94
junitparser,3.89,0.753439284,79
eventlet,3.89,0.573234228,83
soxr,3.89,0.74856956,73
xattr,3.89,0.645731682,71
roman,3.89,0.647170274,71
pylink-square,3.89,0.671641247,79
pyfaidx,3.89,0.728663293,75
distro,3.86,0.745637403,85
linkify-it-py,3.86,0.694979533,74
pydocstyle,3.86,0.580514475,85
xmlschema,3.86,0.678627287,82
myst-parser,3.86,0.62340914,88
asyncssh,3.86,0.752706127,86
allure-python-commons,3.86,0.736197466,88
allure-pytest,3.86,0.736197466,88
portend,3.86,0.780689083,73
cherrypy,3.86,0.560349408,68
autocommand,3.86,0.666641701,63
reactivex,3.86,0.718865564,68
mkdocstrings,3.86,0.609493183,94
transitions,3.86,0.646918677,72
pyupgrade,3.86,0.597996342,85
rarfile,3.86,0.77030498,82
django-reversion,3.86,0.552584507,85
ipyevents,3.86,0.77305628,75
python-logstash-async,3.86,0.75833664,78
cowsay,3.86,0.778634372,81
asciimatics,3.86,0.745547218,62
splinter,3.86,0.61369574,80
icontract,3.86,0.788351543,79
prometheus-client,3.84,0.701921834,100
deepdiff,3.84,0.593962533,88
pipenv,3.84,0.610534931,100
parse,3.84,0.768623697,91
google-cloud-monitoring,3.84,0.743248382,88
google-cloud-tasks,3.84,0.752954473,61
dash,3.84,0.694257887,88
pycares,3.84,0.707018823,74
prophet,3.84,0.69191618,88
bitstring,3.84,0.652412179,82
plumbum,3.84,0.714004146,88
google-cloud-automl,3.84,0.740726671,87
requests-futures,3.84,0.760688079,82
flask-compress,3.84,0.760828192,83
pyphen,3.84,0.671874058,74
utm,3.84,0.691226909,61
bravado-core,3.84,0.60017525,80
google-cloud-filestore,3.84,0.804444361,78
httpstan,3.84,0.648111404,76
catkin-pkg,3.84,0.671641247,73
paramiko-expect,3.84,0.780593218,66
google-cloud-org-policy,3.84,0.779939298,78
scooby,3.84,0.814065493,73
py-moneyed,3.84,0.743341486,74
pygeos,3.84,0.762584626,62
pybreaker,3.84,0.765014587,74
tatsu,3.84,0.678310816,65
curtsies,3.84,0.74347307,81
pylast,3.84,0.604599035,76
hdrhistogram,3.84,0.780564738,78
sqlalchemy-utils,3.81,0.628247334,92
zope-deprecation,3.81,0.683365129,82
pysimdjson,3.81,0.771099478,69
swagger-spec-validator,3.81,0.685415957,68
wrapt,3.78,0.644424397,85
nest-asyncio,3.78,0.779310887,88
pyflakes,3.78,0.716596895,91
overrides,3.78,0.765550305,85
cfgv,3.78,0.661627233,77
fastavro,3.78,0.44844627,91
snowballstemmer,3.78,0.678184531,86
graphframes,3.78,0.617293539,75
einops,3.78,0.621801854,88
tokenize-rt,3.78,0.737351322,73
psycopg,3.78,0.796792606,85
pathvalidate,3.78,0.792662533,75
fs,3.78,0.837003193,65
koalas,3.78,0.724440845,64
psycopg-binary,3.78,0.730249797,83
imagehash,3.78,0.619755407,60
plotnine,3.78,0.721004481,83
peewee,3.78,0.714612039,88
typepy,3.78,0.743828219,70
igraph,3.78,0.700767549,85
aioredis,3.78,0.567946064,64
flaky,3.78,0.761612184,70
jq,3.78,0.603958819,77
aio-pika,3.78,0.570470172,79
python-lsp-jsonrpc,3.78,0.649343356,82
troposphere,3.78,0.564602,97
pyvirtualdisplay,3.78,0.642212709,61
python-graphql-client,3.78,0.65375467,61
tabledata,3.78,0.744186621,70
griffe,3.78,0.630926253,87
pytablewriter,3.78,0.781431763,70
tcolorpy,3.78,0.738504091,70
furo,3.78,0.609136717,88
tox-gh-actions,3.78,0.698813772,74
alive-progress,3.78,0.793236768,77
praat-parselmouth,3.78,0.653559089,74
awacs,3.78,0.749325495,84
python-igraph,3.78,0.685953132,85
discord-webhook,3.78,0.765338141,80
aiohttp-socks,3.78,0.803744986,73
pyserde,3.78,0.760227493,85
lazy,3.78,0.659205986,70
humbug,3.78,0.814587824,71
censys,3.78,0.757787346,87
datetimerange,3.78,0.802868762,70
habanero,3.78,0.774241575,74
monty,3.78,0.723262721,81
fastrlock,3.78,0.659745541,67
djangorestframework-dataclasses,3.78,0.67500072,76
astral,3.78,0.637322823,62
enlighten,3.78,0.666765782,76
mido,3.78,0.741872717,89
wemake-python-styleguide,3.78,0.595199428,84
osmnx,3.78,0.721372583,85
huey,3.78,0.752905872,82
zconfig,3.78,0.674112016,76
polyaxon,3.78,0.817838984,68
colorama,3.76,0.608161838,87
dill,3.76,0.875266364,91
msal-extensions,3.76,0.636734885,73
prometheus-flask-exporter,3.76,0.753739603,85
dacite,3.76,0.917261119,79
timezonefinder,3.76,0.689732414,82
munch,3.76,0.76062461,80
parsimonious,3.76,0.617804206,70
aliyun-python-sdk-core,3.76,0.750060638,88
sudachipy,3.76,0.710139807,74
flask-httpauth,3.76,0.748724182,85
gpiozero,3.76,0.577264666,82
hupper,3.76,0.779050921,86
bitstruct,3.76,0.790316397,65
pandas-flavor,3.76,0.78392787,65
freetype-py,3.76,0.630423647,77
stanza,3.76,0.666195498,82
google-cloud-access-context-manager,3.76,0.775098041,77
wsaccel,3.76,0.720934428,76
cwcwidth,3.76,0.808972105,65
deprecated,3.73,0.764637992,86
joblib,3.73,0.55422828,91
zeep,3.73,0.622049997,84
zope-event,3.73,0.681056551,87
zope-component,3.73,0.670919024,80
awkward,3.73,0.626918034,88
colander,3.73,0.853475272,74
awkward-cpp,3.73,0.600041774,88
click-repl,3.7,0.768350743,85
ansible,3.7,0.419329507,94
pytest-timeout,3.7,0.749018432,77
ansible-core,3.7,0.444224924,91
audioread,3.7,0.759534943,400
imageio-ffmpeg,3.7,0.759924598,79
parsel,3.7,0.734073436,82
albumentations,3.7,0.562946372,82
plac,3.7,0.775439098,82
yaspin,3.7,0.692735626,85
torchdata,3.7,0.652340668,90
tabula-py,3.7,0.68959074,85
apeye,3.7,0.69036068,73
jplephem,3.7,0.776953514,69
devtools,3.7,0.640750341,82
honeycomb-beeline,3.7,0.743933374,76
prompt-toolkit,3.68,0.533771177,87
mako,3.68,0.724663404,81
makefun,3.68,0.647934475,76
python-jose,3.68,0.744004251,83
python-http-client,3.68,0.730229616,79
scp,3.68,0.89750686,87
incremental,3.68,0.780077566,80
python-crfsuite,3.68,0.610939872,78
portpicker,3.68,0.780391047,85
pygsheets,3.68,0.720282751,78
pamqp,3.68,0.778479146,62
dependency-injector,3.68,0.545484215,75
configspace,3.68,0.608756263,71
fqdn,3.65,0.790177857,68
graphql-core,3.65,0.609022286,77
pycocotools,3.65,0.638170808,79
lmdb,3.65,0.563361468,78
pyshp,3.65,0.884686944,400
translationstring,3.65,0.694935315,73
dm-haiku,3.65,0.725169554,82
whatthepatch,3.65,0.703835479,74
pytrends,3.65,0.724942069,77
freezegun,3.62,0.714028646,82
google-cloud-aiplatform,3.62,0.716396937,91
marshmallow-dataclass,3.62,0.747840851,85
pylint-django,3.62,0.728110087,78
sacrebleu,3.62,0.608349106,73
queuelib,3.62,0.775253766,64
sounddevice,3.62,0.700879747,81
dropbox,3.62,0.717837712,86
gluestick,3.62,0.811741102,67
grpc-stubs,3.62,0.768073142,76
mdit-py-plugins,3.59,0.659930941,83
gast,3.59,0.646627387,80
croniter,3.59,0.588978881,87
email-validator,3.59,0.630894507,89
colorlog,3.59,0.745257102,74
sendgrid,3.59,0.590380559,95
blis,3.59,0.758225791,75
flask-babel,3.59,0.819616894,85
yappi,3.59,0.678600111,76
colorful,3.59,0.923863573,78
pygame,3.59,0.440866313,91
aiofile,3.59,0.640381453,82
plaster-pastedeploy,3.59,0.809354875,76
colorcet,3.59,0.904191917,68
markdownify,3.59,0.63779794,65
aws-error-utils,3.59,0.66815479,62
gspread-pandas,3.59,0.76740652,75
pylsqpack,3.59,0.674739939,62
coincurve,3.59,0.618938005,71
frozen-flask,3.59,0.740603206,64
pytest-metadata,3.57,0.76931819,86
ephem,3.57,0.581849179,81
httpx-auth,3.57,0.9346838,76
requests-oauthlib,3.54,0.575774868,85
python-dotenv,3.54,0.580229603,92
pytest-cov,3.54,0.717193719,89
pyathena,3.54,0.755385655,85
amqp,3.54,0.576989575,81
srsly,3.54,0.685744364,85
catalogue,3.54,0.777744303,85
editables,3.54,0.684086472,77
configargparse,3.54,0.608540586,85
filetype,3.54,0.748635892,78
itemloaders,3.54,0.736808549,74
django-crispy-forms,3.54,0.663491513,86
netmiko,3.54,0.678841051,76
bqplot,3.54,0.583717921,82
varname,3.54,0.724995802,70
sniffio,3.51,0.700285548,82
shellingham,3.51,0.690978053,88
backoff,3.51,0.745839577,77
openai,3.51,0.755717343,91
natsort,3.51,0.752249236,87
cfn-flip,3.51,0.622500159,64
configupdater,3.51,0.647284526,68
python-engineio,3.51,0.735403951,85
pyquery,3.51,0.860643402,79
dictdiffer,3.51,0.636157382,68
haversine,3.51,0.755139787,74
selenium-wire,3.51,0.683282895,77
publicsuffixlist,3.51,0.806537939,74
warlock,3.51,0.690986871,62
torch-optimizer,3.51,0.680294052,65
imgkit,3.51,0.805543584,71
google-cloud-runtimeconfig,3.51,0.757665408,68
deprecation-alias,3.51,0.675491399,68
woodwork,3.51,0.678977749,84
uc-micro-py,3.49,0.747343328,71
tld,3.49,0.693397225,77
exif,3.49,0.522804171,80
jsonpatch,3.46,0.749537058,84
jupyterlab-widgets,3.46,0.659850144,97
spacy,3.46,0.474787772,91
scandir,3.46,0.756798136,81
hologram,3.46,0.644190876,74
django-extensions,3.46,0.764074554,88
yfinance,3.46,0.646017982,79
itemadapter,3.46,0.793964849,70
django-appconf,3.46,0.754992359,61
pefile,3.46,0.729340223,78
pyahocorasick,3.46,0.613519146,75
fastcore,3.46,0.593281123,82
formulaic,3.46,0.663835272,73
jiwer,3.46,0.786388069,77
pylint-gitlab,3.46,0.617781325,85
exifread,3.46,0.598595896,66
xdoctest,3.46,0.713137449,66
pwntools,3.46,0.655178293,84
ptyprocess,3.43,0.78223555,78
cloudpickle,3.43,0.729166061,88
python-multipart,3.43,0.636949188,84
multipledispatch,3.43,0.761727319,83
clickhouse-driver,3.43,0.714825563,85
wand,3.43,0.634753618,83
marko,3.43,0.62535658,79
mitmproxy,3.43,0.629930575,90
circus,3.43,0.571022832,68
featuretools,3.43,0.574817735,88
google-cloud-audit-log,3.41,0.778380999,88
starlette-context,3.41,0.725278406,68
chardet,3.38,0.740379799,90
entrypoints,3.38,0.644305416,70
fasteners,3.38,0.612197614,88
hyperframe,3.38,0.765127849,73
murmurhash,3.38,0.812542334,80
cymem,3.38,0.78064557,82
spacy-loggers,3.38,0.713739828,77
voluptuous,3.38,0.649135741,80
python-box,3.38,0.821633538,85
pydyf,3.38,0.691145769,82
polib,3.38,0.757345217,74
pipreqs,3.38,0.740760673,88
tinydb,3.38,0.644621368,83
pebble,3.38,0.750582287,68
jmp,3.38,0.787172619,63
pycognito,3.38,0.617485632,71
hmmlearn,3.38,0.605085399,76
tavern,3.38,0.651540072,88
arxiv,3.38,0.772049162,80
djangorestframework-gis,3.38,0.726074227,68
tuspy,3.38,0.693009023,77
simple-term-menu,3.38,0.705760617,71
qtawesome,3.38,0.880156787,78
nodeenv,3.35,0.718191184,81
isoduration,3.35,0.699976565,70
typed-ast,3.35,0.662233347,67
google-cloud-dataproc,3.35,0.74424516,58
boltons,3.35,0.723007256,83
cx-oracle,3.35,0.613588415,85
wordcloud,3.35,0.647837017,82
atlassian-jwt-auth,3.35,0.767981805,74
aiormq,3.35,0.608508499,74
pyserial-asyncio,3.35,0.630015096,61
mlxtend,3.35,0.699821532,82
circuitbreaker,3.35,0.639225963,74
grpc-interceptor,3.35,0.65021694,78
bravado,3.35,0.605274155,61
snakeviz,3.35,0.685235515,74
django-solo,3.35,0.61431502,77
simpleitk,3.35,0.636978567,90
dm-control,3.35,0.748539899,86
paramiko,3.32,0.669730769,84
requests-ntlm,3.32,0.758384847,80
cron-descriptor,3.3,0.644927099,79
cairocffi,3.3,0.594997398,84
google-cloud-dlp,3.3,0.748502629,58
jdcal,3.3,0.781127651,67
shortuuid,3.3,0.675813699,84
py-cpuinfo,3.3,0.766456127,77
google-cloud-videointelligence,3.3,0.731132386,58
elementpath,3.3,0.643705198,74
pmdarima,3.3,0.750774173,79
caio,3.3,0.656522753,73
premailer,3.3,0.724003106,64
django-ckeditor,3.3,0.836538061,80
grequests,3.3,0.621951249,71
sqlitedict,3.3,0.674936956,71
zxcvbn,3.3,0.70027158,61
pylogbeat,3.3,0.831570031,67
gpsoauth,3.3,0.77542685,79
threadpoolctl,3.27,0.710270602,85
jsonpointer,3.27,0.778733765,85
setproctitle,3.27,0.664442386,81
simpleeval,3.27,0.685655663,71
sparqlwrapper,3.27,0.670648523,64
django-compressor,3.27,0.676399093,89
nptyping,3.27,0.786029828,68
plotly,3.24,0.628840967,97
starkbank-ecdsa,3.24,0.669023772,78
great-expectations-experimental,3.24,0.625580398,82
chart-studio,3.24,0.654365499,75
tzlocal,3.22,0.67877519,84
python-json-logger,3.22,0.597006155,88
matplotlib-inline,3.22,0.622476295,73
addict,3.22,0.769963802,73
ffmpy,3.22,0.790608291,74
ipdb,3.22,0.593128687,81
python-decouple,3.22,0.750972652,75
jsonref,3.22,0.780124423,72
dominate,3.22,0.756600665,80
social-auth-app-django,3.22,0.586708796,91
mss,3.22,0.630804577,83
dataproperty,3.22,0.937568973,70
qdldl,3.22,0.802990579,62
workalendar,3.22,0.633957657,77
confuse,3.22,0.768729785,68
spacy-alignments,3.22,0.730245012,70
pypinyin,3.22,0.742944998,84
gmplot,3.22,0.618188904,64
databricks-cli,3.19,0.57980099,91
requests-file,3.19,0.78677135,70
flask-caching,3.19,0.717657355,69
eth-account,3.19,0.614968324,79
umap-learn,3.19,0.641052331,91
josepy,3.19,0.659504647,62
django-mptt,3.19,0.690065963,88
glean-parser,3.19,0.764591294,84
asyncio-nats-client,3.19,0.748429663,67
aioprometheus,3.19,0.775072021,68
google-ads,3.16,0.747303509,88
msoffcrypto-tool,3.16,0.786197967,76
hug,3.16,0.709885625,62
mccabe,3.14,0.899157905,83
secretstorage,3.14,0.724188097,72
aioitertools,3.14,0.783561809,82
multiprocess,3.14,0.920651519,86
pure-eval,3.14,0.799310003,68
python-slugify,3.14,0.748462234,83
docstring-parser,3.14,0.633472179,78
wsproto,3.14,0.689471338,80
sshtunnel,3.14,0.683100264,80
thinc,3.14,0.551039203,85
preshed,3.14,0.768399029,82
pylint-plugin-utils,3.14,0.780588649,72
automat,3.14,0.749980862,81
dm-tree,3.14,0.768635328,80
funcy,3.14,0.751538938,75
robotframework-requests,3.14,0.874252877,80
django-js-asset,3.14,0.798982647,70
dnslib,3.14,0.623175254,68
zstd,3.14,0.691395088,66
ptpython,3.14,0.610873286,72
pyct,3.14,0.923984466,62
humiolib,3.14,0.790559735,81
numdifftools,3.14,0.771375133,62
mdutils,3.14,0.644260553,81
janome,3.14,0.767419655,80
parsy,3.14,0.777929266,75
bitmath,3.14,0.775946131,60
hypothesis-jsonschema,3.14,0.792282133,78
tbump,3.14,0.692968387,77
rtoml,3.14,0.671641247,68
qrcode,3.11,0.735210432,78
eth-abi,3.11,0.622011937,85
sudachidict-core,3.11,0.70748233,80
cvxopt,3.11,0.642166633,79
cpplint,3.11,0.574689652,71
funcparserlib,3.11,0.785623436,62
pyxirr,3.11,0.670064086,70
tomli,3.05,0.70663582,73
cached-property,3.05,0.759226144,82
installer,3.05,0.642151618,92
pandocfilters,3.05,0.749316962,76
hpack,3.05,0.75988039,76
zstandard,3.05,0.638496138,82
frozendict,3.05,0.775212705,79
aiosqlite,3.05,0.831619249,86
ghp-import,3.05,0.671641247,66
ifaddr,3.05,0.615885365,65
scs,3.05,0.679489814,64
logzero,3.05,0.779158956,61
doit,3.05,0.721281804,65
icecream,3.05,0.760474772,62
pdbpp,3.05,0.746460224,61
rdkit-pypi,3.05,0.797545425,62
honcho,3.05,0.605870009,64
datapackage,3.05,0.743676782,60
akshare,3.05,0.621136395,87
geonamescache,3.05,0.671641247,68
adjusttext,3.05,0.791224875,66
